Store Name,Store Type,Street Number,Street Name,City,State,Zip Code,County,Latitude,Longitude
$1 SHOP N' SAVE  ,Convenience Store,3436,E Chapman Ave,Orange,CA,92869,ORANGE,0.0,0.0
$1 STORE +  ,Convenience Store,709,N Bristol St Ste J,Santa Ana,CA,92703,ORANGE,0.0,0.0
.bp Ampm Arco 42373,Convenience Store,7990,Knott Ave,Buena Park,CA,90620,ORANGE,33.84693,-118.0107
10-FOUR MARKET  ,Convenience Store,2181,W Katella Ave # A,Anaheim,CA,92804,ORANGE,0.0,0.0
10951 Imperial Hwy Inc 47050,Convenience Store,11460,Beach Blvd,Stanton,CA,90680,ORANGE,33.796,-117.9923
17 Food Store  ,Convenience Store,6522,Stanton Ave,Buena Park,CA,90621,ORANGE,33.86558,-117.9938
"17-FOOD STORES, STANTON  ",Convenience Store,6522,Stanton Ave Ste A,Buena Park,CA,90621,ORANGE,0.0,0.0
1st And Fairview Market  ,Convenience Store,2715,W 1st St,Santa Ana,CA,92703,ORANGE,33.74561,-117.906
1ST MEAT MARKET  ,Meat/Poultry Specialty,1620,E 1st St,Santa Ana,CA,92701,ORANGE,33.74543,-117.8454
33 FOOD MARKET  ,Large Grocery Store,10541,Bolsa Ave,Garden Grove,CA,92843,ORANGE,0.0,0.0
4 Season Produce  ,Supermarket,1820,N Placentia Ave,Placentia,CA,92870,ORANGE,33.89466,-117.8723
4 U FAMILI DISCOUNT CENTER  ,Convenience Store,130,N Raymond Ave,Fullerton,CA,92831,ORANGE,33.8711,-117.9069
4 U MARKET  ,Small Grocery Store,7757,Katella Ave Ste A,Stanton,CA,90680,ORANGE,0.0,0.0
4 U MARKET  ,Convenience Store,7757,KATELLA AVENUE #A-B,STANTON,CA,90680,ORANGE,0.0,0.0
4 U MARKET  ,Convenience Store,7757,KATELLA AVE A&B,STANTON,CA,90680,ORANGE,33.80296,-117.9972
4 U Market  ,Convenience Store,7757,Katella Ave,Stanton,CA,90680,ORANGE,33.80297,-117.9972
4 U Market  ,Convenience Store,7757,Katella Ave,Stanton,CA,90680,ORANGE,33.80297,-117.9972
4 U Market Liquor  ,Convenience Store,7757,Katella Ave,Stanton,CA,90680,ORANGE,33.80297,-117.9972
4U BARGAIN  ,Large Grocery Store,1800,N Grand Ave,Santa Ana,CA,92705,ORANGE,33.76117,-117.8519
4u Market  ,Convenience Store,7757,Katella Ave,Stanton,CA,90680,ORANGE,33.80297,-117.9972
5 BRISTOL FOOD STORE  ,Convenience Store,510,N Bristol St Ste A,Santa Ana,CA,92703,ORANGE,33.74915,-117.8852
5w Baby Market  ,Small Grocery Store,1212,S Bristol St,Santa Ana,CA,92704,ORANGE,33.73184,-117.8852
5w Food Market  ,Small Grocery Store,500,S Knott Ave,Anaheim,CA,92804,ORANGE,33.82543,-118.0104
5w Food Market  ,Small Grocery Store,500,S Knott Ave,Anaheim,CA,92804,ORANGE,33.82543,-118.0104
7 DAY MARKET AND VIDEO  ,Unknown,1225,S Knott Ave,Anaheim,CA,92804,ORANGE,0.0,0.0
7 DAYS FOOD STORE  ,Convenience Store,6832,EDINGER AVE.,HUNTINGTON BCH,CA,92647,ORANGE,0.0,0.0
7 Days Liquor  ,Convenience Store,19490,Beach Blvd,Huntington Beach,CA,92648,ORANGE,33.67959,-117.9885
7 Days Liquor 2  ,Convenience Store,5201,E Orangethorpe Ave,Anaheim,CA,92807,ORANGE,33.86422,-117.8014
7 DIAS BARGAIN  ,Convenience Store,1232,S MAGNOILA AVE,ANAHEIM,CA,92804,ORANGE,0.0,0.0
7 Eleven 26846C,Convenience Store,15265,Culver Dr,Irvine,CA,92604,ORANGE,33.69603,-117.7966
7 Eleven 17782,Convenience Store,9001,Bolsa Ave,Westminster,CA,92683,ORANGE,33.74494,-117.9718
7 Eleven 34344B,Convenience Store,7012,Edinger Ave,Huntington Beach,CA,92647,ORANGE,33.73007,-118.0063
7 Eleven # 25985 25985,Convenience Store,18532,Yorba Linda Blvd,Yorba Linda,CA,92886,ORANGE,33.88794,-117.8105
7 Eleven # 25985 25985,Convenience Store,18532,Yorba Linda Blvd,Yorba Linda,CA,92886,ORANGE,33.88794,-117.8105
7 Eleven 37051A  ,Convenience Store,2016,W 17th St,Santa Ana,CA,92706,ORANGE,33.75988,-117.8976
7 Eleven Store 36866A,Convenience Store,100,W la Habra Blvd,La Habra,CA,90631,ORANGE,33.93181,-117.9462
7 Eleven Store 33436B,Convenience Store,2217,E 17th St,Santa Ana,CA,92705,ORANGE,33.75999,-117.8348
7 Eleven Store 33520D,Convenience Store,6010,Warner Ave,Huntington Beach,CA,92647,ORANGE,33.71537,-118.023
7 Eleven Store 39725A,Convenience Store,950,S Harbor Blvd,Santa Ana,CA,92704,ORANGE,33.73524,-117.9201
7 Eleven Store 26314C,Convenience Store,3197,N Glassell St,Orange,CA,92865,ORANGE,33.84171,-117.8522
7 Eleven Store 18226D,Convenience Store,675,Paularino Ave,Costa Mesa,CA,92626,ORANGE,33.68232,-117.8844
